local,resultado,visitante,fecha
Aldosivi,0 -                                         0,Central Córdoba (SdE),regular_a_4
Independiente,2 -                                         2,Boca Juniors,regular_a_4
Estudiantes (LP),3 -                                         2,Arsenal,regular_a_4
Sarmiento (J),2 -                                         1,Unión,regular_a_4
River Plate,2 -                                         2,Racing Club,regular_a_4
Argentinos Juniors,1 -                                         1,San Lorenzo de Almagro,regular_a_4
Talleres (C),1 -                                         2,Newell's Old Boys,regular_a_4
Lanús,0 -                                         0,Tigre,regular_a_4
Atlético Tucumán,1 -                                         0,Patronato,regular_a_4
Central Córdoba (SdE),0 -                                         1,Rosario Central,regular_a_5
Unión,1 -                                         0,Platense,regular_a_5
Barracas Central,2 -                                         1,Aldosivi,regular_a_5
Gimnasia y Esgrima (LP),2 -                                         2,Argentinos Juniors,regular_a_5
San Lorenzo de Almagro,0 -                                         1,River Plate,regular_a_5
Patronato,0 -                                         1,Sarmiento (J),regular_a_5
Racing Club,1 -                                         0,Talleres (C),regular_a_5
Banfield,2 -                                         3,Defensa y Justicia,regular_a_5
Newell's Old Boys,4 -                                         0,Atlético Tucumán,regular_a_5
Boca Juniors,0 -                                         1,Huracán,regular_a_5
Vélez Sarsfield,1 -                                         1,Estudiantes (LP),regular_a_5
Godoy Cruz,3 -                                         3,Independiente,regular_a_5
Arsenal,2 -                                         2,Lanús,regular_a_5
Tigre,1 -                                         0,Colón,regular_a_5
Arsenal,0 -                                         0,Vélez Sarsfield,regular_a_6
Platense,1 -                                         2,Patronato,regular_a_6
Aldosivi,1 -                                         0,Tigre,regular_a_6
Huracán,1 -                                         3,Godoy Cruz,regular_a_6
Rosario Central,1 -                                         3,Barracas Central,regular_a_6
Sarmiento (J),2 -                                         2,Newell's Old Boys,regular_a_6
Talleres (C),0 -                                         1,San Lorenzo de Almagro,regular_a_6
Lanús,1 -                                         1,Colón,regular_a_6
Unión,2 -                                         1,Banfield,regular_a_6
River Plate,4 -                                         0,Gimnasia y Esgrima (LP),regular_a_6
Estudiantes (LP),0 -                                         1,Boca Juniors,regular_a_6
Atlético Tucumán,0 -                                         4,Racing Club,regular_a_6
Argentinos Juniors,0 -                                         1,Defensa y Justicia,regular_a_6
Independiente,1 -                                         1,Central Córdoba (SdE),regular_a_6
Aldosivi,3 -                                         1,Patronato,regular_a_7
Tigre,4 -                                         0,Platense,regular_a_7
Barracas Central,2 -                                         1,Sarmiento (J),regular_a_7
Lanús,0 -                                         1,Banfield,regular_a_7
San Lorenzo de Almagro,0 -                                         0,Huracán,regular_a_7
Colón,0 -                                         0,Unión,regular_a_7
Independiente,1 -                                         2,Racing Club,regular_a_7
Rosario Central,0 -                                         1,Newell's Old Boys,regular_a_7
Gimnasia y Esgrima (LP),1 -                                         1,Estudiantes (LP),regular_a_7
River Plate,0 -                                         1,Boca Juniors,regular_a_7
Defensa y Justicia,1 -                                         1,Arsenal,regular_a_7
Argentinos Juniors,1 -                                         0,Vélez Sarsfield,regular_a_7
Atlético Tucumán,0 -                                         1,Central Córdoba (SdE),regular_a_7
Talleres (C),2 -                                         1,Godoy Cruz,regular_a_7
Colón,1 -                                         3,Aldosivi,regular_a_8
Gimnasia y Esgrima (LP),2 -                                         1,Talleres (C),regular_a_8
Central Córdoba (SdE),2 -                                         2,Huracán,regular_a_8
Patronato,2 -                                         1,Unión,regular_a_8
Banfield,0 -                                         2,Argentinos Juniors,regular_a_8
Barracas Central,0 -                                         1,Independiente,regular_a_8
Racing Club,4 -                                         1,Sarmiento (J),regular_a_8
Godoy Cruz,3 -                                         3,Estudiantes (LP),regular_a_8
Vélez Sarsfield,3 -                                         1,Lanús,regular_a_8
Defensa y Justicia,1 -                                         2,River Plate,regular_a_8
Boca Juniors,2 -                                         2,Arsenal,regular_a_8
San Lorenzo de Almagro,1 -                                         1,Atlético Tucumán,regular_a_8
Newell's Old Boys,3 -                                         1,Platense,regular_a_8
Tigre,2 -                                         0,Rosario Central,regular_a_8
Arsenal,3 -                                         3,Godoy Cruz,regular_a_9
Atlético Tucumán,1 -                                         2,Gimnasia y Esgrima (LP),regular_a_9
Rosario Central,2 -                                         2,Colón,regular_a_9
Sarmiento (J),2 -                                         1,San Lorenzo de Almagro,regular_a_9
Unión,1 -                                         0,Newell's Old Boys,regular_a_9
Talleres (C),1 -                                         5,Defensa y Justicia,regular_a_9
Independiente,1 -                                         1,Tigre,regular_a_9
Vélez Sarsfield,0 -                                         0,Boca Juniors,regular_a_9
Estudiantes (LP),5 -                                         0,Central Córdoba (SdE),regular_a_9
Patronato,0 -                                         1,Banfield,regular_a_9
Platense,0 -                                         1,Racing Club,regular_a_9
River Plate,4 -                                         2,Argentinos Juniors,regular_a_9
Huracán,1 -                                         2,Barracas Central,regular_a_9
Lanús,1 -                                         2,Aldosivi,regular_a_9
Gimnasia y Esgrima (LP),1 -                                         3,Sarmiento (J),regular_a_10
Tigre,2 -                                         1,Huracán,regular_a_10
Aldosivi,1 -                                         0,Rosario Central,regular_a_10
Central Córdoba (SdE),3 -                                         3,Arsenal,regular_a_10
Newell's Old Boys,1 -                                         0,Patronato,regular_a_10
San Lorenzo de Almagro,2 -                                         2,Platense,regular_a_10
Colón,2 -                                         2,Independiente,regular_a_10
Barracas Central,1 -                                         6,Estudiantes (LP),regular_a_10
Racing Club,1 -                                         0,Unión,regular_a_10
Defensa y Justicia,1 -                                         1,Atlético Tucumán,regular_a_10
Godoy Cruz,0 -                                         0,Vélez Sarsfield,regular_a_10
Argentinos Juniors,2 -                                         1,Talleres (C),regular_a_10
Boca Juniors,1 -                                         1,Lanús,regular_a_10
Banfield,1 -                                         2,River Plate,regular_a_10
Arsenal,0 -                                         1,Barracas Central,regular_a_11
Unión,1 -                                         2,San Lorenzo de Almagro,regular_a_11
Estudiantes (LP),2 -                                         1,Tigre,regular_a_11
Huracán,1 -                                         1,Colón,regular_a_11
Independiente,1 -                                         1,Aldosivi,regular_a_11
Platense,0 -                                         3,Gimnasia y Esgrima (LP),regular_a_11
Newell's Old Boys,1 -                                         0,Banfield,regular_a_11
Patronato,2 -                                         3,Racing Club,regular_a_11
Vélez Sarsfield,1 -                                         2,Central Córdoba (SdE),regular_a_11
Lanús,3 -                                         1,Rosario Central,regular_a_11
Talleres (C),1 -                                         0,River Plate,regular_a_11
Boca Juniors,1 -                                         1,Godoy Cruz,regular_a_11
Sarmiento (J),2 -                                         1,Defensa y Justicia,regular_a_11
Atlético Tucumán,2 -                                         4,Argentinos Juniors,regular_a_11
Colón,2 -                                         2,Estudiantes (LP),regular_a_12
Gimnasia y Esgrima (LP),1 -                                         0,Unión,regular_a_12
San Lorenzo de Almagro,1 -                                         2,Patronato,regular_a_12
Rosario Central,3 -                                         0,Independiente,regular_a_12
Central Córdoba (SdE),1 -                                         2,Boca Juniors,regular_a_12
Banfield,3 -                                         1,Talleres (C),regular_a_12
Barracas Central,1 -                                         1,Vélez Sarsfield,regular_a_12
Racing Club,0 -                                         0,Newell's Old Boys,regular_a_12
River Plate,1 -                                         1,Atlético Tucumán,regular_a_12
Defensa y Justicia,1 -                                         1,Platense,regular_a_12
Godoy Cruz,1 -                                         1,Lanús,regular_a_12
Tigre,0 -                                         0,Arsenal,regular_a_12
Aldosivi,0 -                                         2,Huracán,regular_a_12
Argentinos Juniors,0 -                                         0,Sarmiento (J),regular_a_12
Newell's Old Boys,1 -                                         2,San Lorenzo de Almagro,regular_a_13
Estudiantes (LP),2 -                                         1,Aldosivi,regular_a_13
Patronato,0 -                                         6,Gimnasia y Esgrima (LP),regular_a_13
Atlético Tucumán,3 -                                         0,Talleres (C),regular_a_13
Racing Club,1 -                                         1,Banfield,regular_a_13
Vélez Sarsfield,3 -                                         2,Tigre,regular_a_13
Arsenal,2 -                                         0,Colón,regular_a_13
Boca Juniors,2 -                                         0,Barracas Central,regular_a_13
Lanús,1 -                                         0,Independiente,regular_a_13
Sarmiento (J),0 -                                         7,River Plate,regular_a_13
Godoy Cruz,1 -                                         0,Central Córdoba (SdE),regular_a_13
Unión,1 -                                         2,Defensa y Justicia,regular_a_13
Huracán,2 -                                         1,Rosario Central,regular_a_13
Platense,1 -                                         1,Argentinos Juniors,regular_a_13
San Lorenzo de Almagro,1 -                                         1,Racing Club,regular_a_14
Barracas Central,3 -                                         1,Godoy Cruz,regular_a_14
Aldosivi,1 -                                         2,Arsenal,regular_a_14
Independiente,3 -                                         0,Huracán,regular_a_14
Tigre,0 -                                         2,Boca Juniors,regular_a_14
Rosario Central,3 -                                         1,Estudiantes (LP),regular_a_14
Argentinos Juniors,2 -                                         1,Unión,regular_a_14
Defensa y Justicia,1 -                                         0,Patronato,regular_a_14
Gimnasia y Esgrima (LP),3 -                                         1,Newell's Old Boys,regular_a_14
Talleres (C),1 -                                         0,Sarmiento (J),regular_a_14
River Plate,2 -                                         1,Platense,regular_a_14
Central Córdoba (SdE),3 -                                         3,Lanús,regular_a_14
Colón,1 -                                         2,Vélez Sarsfield,regular_a_14
Banfield,1 -                                         1,Atlético Tucumán,regular_a_14
Racing Club,5 -                                     0,Aldosivi,cuartos_a_1
Boca Juniors,2 -                                     0,Defensa y Justicia,cuartos_a_1
Estudiantes (LP),1(3)-                                     1(4),Argentinos Juniors,cuartos_a_1
River Plate,1 -                                     2,Tigre,cuartos_a_1
Boca Juniors,0(6)-                                     0(5),Racing Club,semifinal_a_1
Tigre,1(3)-                                     1(1),Argentinos Juniors,semifinal_a_1
Boca Juniors,3 -                                     0,Tigre,final_a_1
Patronato,0 -                                         1,Argentinos Juniors,regular_a_1
Sarmiento (J),1 -                                         0,Atlético Tucumán,regular_a_1
Central Córdoba (SdE),3 -                                         1,Barracas Central,regular_a_1
Newell's Old Boys,1 -                                         0,Defensa y Justicia,regular_a_1
Arsenal,1 -                                         1,Rosario Central,regular_a_1
Godoy Cruz,1 -                                         1,Tigre,regular_a_1
Vélez Sarsfield,2 -                                         0,Aldosivi,regular_a_1
Banfield,0 -                                         0,San Lorenzo de Almagro,regular_a_1
Huracán,1 -                                         0,Lanús,regular_a_1
Unión,1 -                                         0,River Plate,regular_a_1
Estudiantes (LP),2 -                                         1,Independiente,regular_a_1
Racing Club,0 -                                         0,Gimnasia y Esgrima (LP),regular_a_1
Platense,1 -                                         0,Talleres (C),regular_a_1
Boca Juniors,1 -                                         1,Colón,regular_a_1
Argentinos Juniors,3 -                                         0,Newell's Old Boys,regular_a_2
Independiente,1 -                                         0,Arsenal,regular_a_2
Rosario Central,1 -                                         0,Vélez Sarsfield,regular_a_2
Huracán,2 -                                         3,Estudiantes (LP),regular_a_2
Lanús,2 -                                         0,Barracas Central,regular_a_2
Tigre,1 -                                         1,Central Córdoba (SdE),regular_a_2
Aldosivi,1 -                                         2,Boca Juniors,regular_a_2
River Plate,4 -                                         1,Patronato,regular_a_2
Colón,3 -                                         1,Godoy Cruz,regular_a_2
Gimnasia y Esgrima (LP),1 -                                         0,San Lorenzo de Almagro,regular_a_2
Defensa y Justicia,2 -                                         2,Racing Club,regular_a_2
Sarmiento (J),2 -                                         2,Banfield,regular_a_2
Atlético Tucumán,2 -                                         2,Platense,regular_a_2
Talleres (C),0 -                                         0,Unión,regular_a_2
Arsenal,2 -                                         1,Huracán,regular_a_3
Estudiantes (LP),2 -                                         1,Lanús,regular_a_3
Vélez Sarsfield,0 -                                         0,Independiente,regular_a_3
Platense,2 -                                         0,Sarmiento (J),regular_a_3
Boca Juniors,2 -                                         1,Rosario Central,regular_a_3
Newell's Old Boys,0 -                                         2,River Plate,regular_a_3
Barracas Central,0 -                                         2,Tigre,regular_a_3
Banfield,4 -                                         0,Gimnasia y Esgrima (LP),regular_a_3
Godoy Cruz,0 -                                         2,Aldosivi,regular_a_3
San Lorenzo de Almagro,3 -                                         4,Defensa y Justicia,regular_a_3
Patronato,0 -                                         0,Talleres (C),regular_a_3
Unión,1 -                                         0,Atlético Tucumán,regular_a_3
Central Córdoba (SdE),0 -                                         2,Colón,regular_a_3
Racing Club,3 -                                         0,Argentinos Juniors,regular_a_3
Huracán,2 -                                         0,Vélez Sarsfield,regular_a_4
Defensa y Justicia,3 -                                         2,Gimnasia y Esgrima (LP),regular_a_4
Platense,0 -                                         1,Banfield,regular_a_4
Colón,2 -                                         1,Barracas Central,regular_a_4
Rosario Central,1 -                                         2,Godoy Cruz,regular_a_4
Aldosivi,0 -                                         0,Central Córdoba (SdE),regular_a_4
Independiente,2 -                                         2,Boca Juniors,regular_a_4
Estudiantes (LP),3 -                                         2,Arsenal,regular_a_4
Sarmiento (J),2 -                                         1,Unión,regular_a_4
River Plate,2 -                                         2,Racing Club,regular_a_4
Argentinos Juniors,1 -                                         1,San Lorenzo de Almagro,regular_a_4
Talleres (C),1 -                                         2,Newell's Old Boys,regular_a_4
Lanús,0 -                                         0,Tigre,regular_a_4
Atlético Tucumán,1 -                                         0,Patronato,regular_a_4
Central Córdoba (SdE),0 -                                         1,Rosario Central,regular_a_5
Unión,1 -                                         0,Platense,regular_a_5
Barracas Central,2 -                                         1,Aldosivi,regular_a_5
Gimnasia y Esgrima (LP),2 -                                         2,Argentinos Juniors,regular_a_5
San Lorenzo de Almagro,0 -                                         1,River Plate,regular_a_5
Patronato,0 -                                         1,Sarmiento (J),regular_a_5
Racing Club,1 -                                         0,Talleres (C),regular_a_5
Banfield,2 -                                         3,Defensa y Justicia,regular_a_5
Newell's Old Boys,4 -                                         0,Atlético Tucumán,regular_a_5
Boca Juniors,0 -                                         1,Huracán,regular_a_5
Vélez Sarsfield,1 -                                         1,Estudiantes (LP),regular_a_5
Godoy Cruz,3 -                                         3,Independiente,regular_a_5
Arsenal,2 -                                         2,Lanús,regular_a_5
Tigre,1 -                                         0,Colón,regular_a_5
Arsenal,0 -                                         0,Vélez Sarsfield,regular_a_6
Platense,1 -                                         2,Patronato,regular_a_6
Aldosivi,1 -                                         0,Tigre,regular_a_6
Huracán,1 -                                         3,Godoy Cruz,regular_a_6
Rosario Central,1 -                                         3,Barracas Central,regular_a_6
Sarmiento (J),2 -                                         2,Newell's Old Boys,regular_a_6
Talleres (C),0 -                                         1,San Lorenzo de Almagro,regular_a_6
Lanús,1 -                                         1,Colón,regular_a_6
Unión,2 -                                         1,Banfield,regular_a_6
River Plate,4 -                                         0,Gimnasia y Esgrima (LP),regular_a_6
Estudiantes (LP),0 -                                         1,Boca Juniors,regular_a_6
Atlético Tucumán,0 -                                         4,Racing Club,regular_a_6
Argentinos Juniors,0 -                                         1,Defensa y Justicia,regular_a_6
Independiente,1 -                                         1,Central Córdoba (SdE),regular_a_6
Aldosivi,3 -                                         1,Patronato,regular_a_7
Tigre,4 -                                         0,Platense,regular_a_7
Barracas Central,2 -                                         1,Sarmiento (J),regular_a_7
Lanús,0 -                                         1,Banfield,regular_a_7
San Lorenzo de Almagro,0 -                                         0,Huracán,regular_a_7
Colón,0 -                                         0,Unión,regular_a_7
Independiente,1 -                                         2,Racing Club,regular_a_7
Rosario Central,0 -                                         1,Newell's Old Boys,regular_a_7
Gimnasia y Esgrima (LP),1 -                                         1,Estudiantes (LP),regular_a_7
River Plate,0 -                                         1,Boca Juniors,regular_a_7
Defensa y Justicia,1 -                                         1,Arsenal,regular_a_7
Argentinos Juniors,1 -                                         0,Vélez Sarsfield,regular_a_7
Atlético Tucumán,0 -                                         1,Central Córdoba (SdE),regular_a_7
Talleres (C),2 -                                         1,Godoy Cruz,regular_a_7
Colón,1 -                                         3,Aldosivi,regular_a_8
Gimnasia y Esgrima (LP),2 -                                         1,Talleres (C),regular_a_8
Central Córdoba (SdE),2 -                                         2,Huracán,regular_a_8
Patronato,2 -                                         1,Unión,regular_a_8
Banfield,0 -                                         2,Argentinos Juniors,regular_a_8
Barracas Central,0 -                                         1,Independiente,regular_a_8
Racing Club,4 -                                         1,Sarmiento (J),regular_a_8
Godoy Cruz,3 -                                         3,Estudiantes (LP),regular_a_8
Vélez Sarsfield,3 -                                         1,Lanús,regular_a_8
Defensa y Justicia,1 -                                         2,River Plate,regular_a_8
Boca Juniors,2 -                                         2,Arsenal,regular_a_8
San Lorenzo de Almagro,1 -                                         1,Atlético Tucumán,regular_a_8
Newell's Old Boys,3 -                                         1,Platense,regular_a_8
Tigre,2 -                                         0,Rosario Central,regular_a_8
Arsenal,3 -                                         3,Godoy Cruz,regular_a_9
Atlético Tucumán,1 -                                         2,Gimnasia y Esgrima (LP),regular_a_9
Rosario Central,2 -                                         2,Colón,regular_a_9
Sarmiento (J),2 -                                         1,San Lorenzo de Almagro,regular_a_9
Unión,1 -                                         0,Newell's Old Boys,regular_a_9
Talleres (C),1 -                                         5,Defensa y Justicia,regular_a_9
Independiente,1 -                                         1,Tigre,regular_a_9
Vélez Sarsfield,0 -                                         0,Boca Juniors,regular_a_9
Estudiantes (LP),5 -                                         0,Central Córdoba (SdE),regular_a_9
Patronato,0 -                                         1,Banfield,regular_a_9
Platense,0 -                                         1,Racing Club,regular_a_9
River Plate,4 -                                         2,Argentinos Juniors,regular_a_9
Huracán,1 -                                         2,Barracas Central,regular_a_9
Lanús,1 -                                         2,Aldosivi,regular_a_9
Gimnasia y Esgrima (LP),1 -                                         3,Sarmiento (J),regular_a_10
Tigre,2 -                                         1,Huracán,regular_a_10
Aldosivi,1 -                                         0,Rosario Central,regular_a_10
Central Córdoba (SdE),3 -                                         3,Arsenal,regular_a_10
Newell's Old Boys,1 -                                         0,Patronato,regular_a_10
San Lorenzo de Almagro,2 -                                         2,Platense,regular_a_10
Colón,2 -                                         2,Independiente,regular_a_10
Barracas Central,1 -                                         6,Estudiantes (LP),regular_a_10
Racing Club,1 -                                         0,Unión,regular_a_10
Defensa y Justicia,1 -                                         1,Atlético Tucumán,regular_a_10
Godoy Cruz,0 -                                         0,Vélez Sarsfield,regular_a_10
Argentinos Juniors,2 -                                         1,Talleres (C),regular_a_10
Boca Juniors,1 -                                         1,Lanús,regular_a_10
Banfield,1 -                                         2,River Plate,regular_a_10
Arsenal,0 -                                         1,Barracas Central,regular_a_11
Unión,1 -                                         2,San Lorenzo de Almagro,regular_a_11
Estudiantes (LP),2 -                                         1,Tigre,regular_a_11
Huracán,1 -                                         1,Colón,regular_a_11
Independiente,1 -                                         1,Aldosivi,regular_a_11
Platense,0 -                                         3,Gimnasia y Esgrima (LP),regular_a_11
Newell's Old Boys,1 -                                         0,Banfield,regular_a_11
Patronato,2 -                                         3,Racing Club,regular_a_11
Vélez Sarsfield,1 -                                         2,Central Córdoba (SdE),regular_a_11
Lanús,3 -                                         1,Rosario Central,regular_a_11
Talleres (C),1 -                                         0,River Plate,regular_a_11
Boca Juniors,1 -                                         1,Godoy Cruz,regular_a_11
Sarmiento (J),2 -                                         1,Defensa y Justicia,regular_a_11
Atlético Tucumán,2 -                                         4,Argentinos Juniors,regular_a_11
Colón,2 -                                         2,Estudiantes (LP),regular_a_12
Gimnasia y Esgrima (LP),1 -                                         0,Unión,regular_a_12
San Lorenzo de Almagro,1 -                                         2,Patronato,regular_a_12
Rosario Central,3 -                                         0,Independiente,regular_a_12
Central Córdoba (SdE),1 -                                         2,Boca Juniors,regular_a_12
Banfield,3 -                                         1,Talleres (C),regular_a_12
Barracas Central,1 -                                         1,Vélez Sarsfield,regular_a_12
Racing Club,0 -                                         0,Newell's Old Boys,regular_a_12
River Plate,1 -                                         1,Atlético Tucumán,regular_a_12
Defensa y Justicia,1 -                                         1,Platense,regular_a_12
Godoy Cruz,1 -                                         1,Lanús,regular_a_12
Tigre,0 -                                         0,Arsenal,regular_a_12
Aldosivi,0 -                                         2,Huracán,regular_a_12
Argentinos Juniors,0 -                                         0,Sarmiento (J),regular_a_12
Newell's Old Boys,1 -                                         2,San Lorenzo de Almagro,regular_a_13
Estudiantes (LP),2 -                                         1,Aldosivi,regular_a_13
Patronato,0 -                                         6,Gimnasia y Esgrima (LP),regular_a_13
Atlético Tucumán,3 -                                         0,Talleres (C),regular_a_13
Racing Club,1 -                                         1,Banfield,regular_a_13
Vélez Sarsfield,3 -                                         2,Tigre,regular_a_13
Arsenal,2 -                                         0,Colón,regular_a_13
Boca Juniors,2 -                                         0,Barracas Central,regular_a_13
Lanús,1 -                                         0,Independiente,regular_a_13
Sarmiento (J),0 -                                         7,River Plate,regular_a_13
Godoy Cruz,1 -                                         0,Central Córdoba (SdE),regular_a_13
Unión,1 -                                         2,Defensa y Justicia,regular_a_13
Huracán,2 -                                         1,Rosario Central,regular_a_13
Platense,1 -                                         1,Argentinos Juniors,regular_a_13
San Lorenzo de Almagro,1 -                                         1,Racing Club,regular_a_14
Barracas Central,3 -                                         1,Godoy Cruz,regular_a_14
Aldosivi,1 -                                         2,Arsenal,regular_a_14
Independiente,3 -                                         0,Huracán,regular_a_14
Tigre,0 -                                         2,Boca Juniors,regular_a_14
Rosario Central,3 -                                         1,Estudiantes (LP),regular_a_14
Argentinos Juniors,2 -                                         1,Unión,regular_a_14
Defensa y Justicia,1 -                                         0,Patronato,regular_a_14
Gimnasia y Esgrima (LP),3 -                                         1,Newell's Old Boys,regular_a_14
Talleres (C),1 -                                         0,Sarmiento (J),regular_a_14
River Plate,2 -                                         1,Platense,regular_a_14
Central Córdoba (SdE),3 -                                         3,Lanús,regular_a_14
Colón,1 -                                         2,Vélez Sarsfield,regular_a_14
Banfield,1 -                                         1,Atlético Tucumán,regular_a_14
Racing Club,5 -                                     0,Aldosivi,cuartos_a_1
Boca Juniors,2 -                                     0,Defensa y Justicia,cuartos_a_1
Estudiantes (LP),1(3)-                                     1(4),Argentinos Juniors,cuartos_a_1
River Plate,1 -                                     2,Tigre,cuartos_a_1
Boca Juniors,0(6)-                                     0(5),Racing Club,semifinal_a_1
Tigre,1(3)-                                     1(1),Argentinos Juniors,semifinal_a_1
Boca Juniors,3 -                                     0,Tigre,final_a_1
