local,visitante,gol_local,gol_visitante
Gimnasia y Esgrima (LP),Estudiantes (LP),1,1
River Plate,Boca Juniors,0,1
Defensa y Justicia,Arsenal,1,1
Argentinos Juniors,Vélez Sarsfield,1,0
Atlético Tucumán,Central Córdoba (SdE),0,1
Talleres (C),Godoy Cruz,2,1
Colón,Aldosivi,1,3
Gimnasia y Esgrima (LP),Talleres (C),2,1
Central Córdoba (SdE),Huracán,2,2
Patronato,Unión,2,1
Banfield,Argentinos Juniors,0,2
Barracas Central,Independiente,0,1
Racing Club,Sarmiento (J),4,1
Godoy Cruz,Estudiantes (LP),3,3
Vélez Sarsfield,Lanús,3,1
Defensa y Justicia,River Plate,1,2
Boca Juniors,Arsenal,2,2
San Lorenzo,Atlético Tucumán,1,1
Newell's Old Boys,Platense,3,1
Tigre,Rosario Central,2,0
Arsenal,Godoy Cruz,3,3
Atlético Tucumán,Gimnasia y Esgrima (LP),1,2
Rosario Central,Colón,2,2
Sarmiento (J),San Lorenzo,2,1
Unión,Newell's Old Boys,1,0
Talleres (C),Defensa y Justicia,1,5
Independiente,Tigre,1,1
Vélez Sarsfield,Boca Juniors,0,0
Estudiantes (LP),Central Córdoba (SdE),5,0
Patronato,Banfield,0,1
Platense,Racing Club,0,1
River Plate,Argentinos Juniors,4,2
Huracán,Barracas Central,1,2
Lanús,Aldosivi,1,2
Gimnasia y Esgrima (LP),Sarmiento (J),1,3
Tigre,Huracán,2,1
Aldosivi,Rosario Central,1,0
Central Córdoba (SdE),Arsenal,3,3
Newell's Old Boys,Patronato,1,0
San Lorenzo,Platense,2,2
Colón,Independiente,2,2
Barracas Central,Estudiantes (LP),1,6
Racing Club,Unión,1,0
Defensa y Justicia,Atlético Tucumán,1,1
Godoy Cruz,Vélez Sarsfield,0,0
Argentinos Juniors,Talleres (C),2,1
Boca Juniors,Lanús,1,1
Banfield,River Plate,1,2
Arsenal,Barracas Central,0,1
Unión,San Lorenzo,1,2
Estudiantes (LP),Tigre,2,1
Huracán,Colón,1,1
Independiente,Aldosivi,1,1
Platense,Gimnasia y Esgrima (LP),0,3
Newell's Old Boys,Banfield,1,0
Patronato,Racing Club,2,3
Vélez Sarsfield,Central Córdoba (SdE),1,2
Lanús,Rosario Central,3,1
Talleres (C),River Plate,1,0
Boca Juniors,Godoy Cruz,1,1
Sarmiento (J),Defensa y Justicia,2,1
Atlético Tucumán,Argentinos Juniors,2,4
Colón,Estudiantes (LP),2,2
Gimnasia y Esgrima (LP),Unión,1,0
San Lorenzo,Patronato,1,2
Rosario Central,Independiente,3,0
Central Córdoba (SdE),Boca Juniors,1,2
Banfield,Talleres (C),3,1
Barracas Central,Vélez Sarsfield,1,1
Racing Club,Newell's Old Boys,0,0
River Plate,Atlético Tucumán,1,1
Defensa y Justicia,Platense,1,1
Godoy Cruz,Lanús,1,1
Tigre,Arsenal,0,0
Aldosivi,Huracán,0,2
Argentinos Juniors,Sarmiento (J),0,0
Newell's Old Boys,San Lorenzo,1,2
Estudiantes (LP),Aldosivi,2,1
Patronato,Gimnasia y Esgrima (LP),0,6
Atlético Tucumán,Talleres (C),3,0
Racing Club,Banfield,1,1
Vélez Sarsfield,Tigre,3,2
Arsenal,Colón,2,0
Boca Juniors,Barracas Central,2,0
Lanús,Independiente,1,0
Sarmiento (J),River Plate,0,7
Godoy Cruz,Central Córdoba (SdE),1,0
Unión,Defensa y Justicia,1,2
Huracán,Rosario Central,2,1
Platense,Argentinos Juniors,1,1
San Lorenzo,Racing Club,1,1
Barracas Central,Godoy Cruz,3,1
Aldosivi,Arsenal,1,2
Independiente,Huracán,3,0
Tigre,Boca Juniors,0,2
Rosario Central,Estudiantes (LP),3,1
Argentinos Juniors,Unión,2,1
Defensa y Justicia,Patronato,1,0
Gimnasia y Esgrima (LP),Newell's Old Boys,3,1
Talleres (C),Sarmiento (J),1,0
River Plate,Platense,2,1
Central Córdoba (SdE),Lanús,3,3
Colón,Vélez Sarsfield,1,2
Banfield,Atlético Tucumán,1,1
Racing Club,Aldosivi,5,0
Boca Juniors,Defensa y Justicia,2,0
Estudiantes (LP),Argentinos Juniors,13,14
River Plate,Tigre,1,2
Boca Juniors,Racing Club,6,5
Tigre,Argentinos Juniors,13,11
Boca Juniors,Tigre,3,0
Patronato,Argentinos Juniors,0,1
Sarmiento (J),Atlético Tucumán,1,0
Central Córdoba (SdE),Barracas Central,3,1
Newell's Old Boys,Defensa y Justicia,1,0
Arsenal,Rosario Central,1,1
Godoy Cruz,Tigre,1,1
Vélez Sarsfield,Aldosivi,2,0
Banfield,San Lorenzo,0,0
Huracán,Lanús,1,0
Unión,River Plate,1,0
Estudiantes (LP),Independiente,2,1
Racing Club,Gimnasia y Esgrima (LP),0,0
Platense,Talleres (C),1,0
Boca Juniors,Colón,1,1
Argentinos Juniors,Newell's Old Boys,3,0
Independiente,Arsenal,1,0
Rosario Central,Vélez Sarsfield,1,0
Huracán,Estudiantes (LP),2,3
Lanús,Barracas Central,2,0
Tigre,Central Córdoba (SdE),1,1
Aldosivi,Boca Juniors,1,2
River Plate,Patronato,4,1
Colón,Godoy Cruz,3,1
Gimnasia y Esgrima (LP),San Lorenzo,1,0
Defensa y Justicia,Racing Club,2,2
Sarmiento (J),Banfield,2,2
Atlético Tucumán,Platense,2,2
Talleres (C),Unión,0,0
Arsenal,Huracán,2,1
Estudiantes (LP),Lanús,2,1
Vélez Sarsfield,Independiente,0,0
Platense,Sarmiento (J),2,0
Boca Juniors,Rosario Central,2,1
Newell's Old Boys,River Plate,0,2
Barracas Central,Tigre,0,2
Banfield,Gimnasia y Esgrima (LP),4,0
Godoy Cruz,Aldosivi,0,2
San Lorenzo,Defensa y Justicia,3,4
Patronato,Talleres (C),0,0
Unión,Atlético Tucumán,1,0
Central Córdoba (SdE),Colón,0,2
Racing Club,Argentinos Juniors,3,0
Huracán,Vélez Sarsfield,2,0
Defensa y Justicia,Gimnasia y Esgrima (LP),3,2
Platense,Banfield,0,1
Colón,Barracas Central,2,1
Rosario Central,Godoy Cruz,1,2
Aldosivi,Central Córdoba (SdE),0,0
Independiente,Boca Juniors,2,2
Estudiantes (LP),Arsenal,3,2
Sarmiento (J),Unión,2,1
River Plate,Racing Club,2,2
Argentinos Juniors,San Lorenzo,1,1
Talleres (C),Newell's Old Boys,1,2
Lanús,Tigre,0,0
Atlético Tucumán,Patronato,1,0
Central Córdoba (SdE),Rosario Central,0,1
Unión,Platense,1,0
Barracas Central,Aldosivi,2,1
Gimnasia y Esgrima (LP),Argentinos Juniors,2,2
San Lorenzo,River Plate,0,1
Patronato,Sarmiento (J),0,1
Racing Club,Talleres (C),1,0
Banfield,Defensa y Justicia,2,3
Newell's Old Boys,Atlético Tucumán,4,0
Boca Juniors,Huracán,0,1
Vélez Sarsfield,Estudiantes (LP),1,1
Godoy Cruz,Independiente,3,3
Arsenal,Lanús,2,2
Tigre,Colón,1,0
Arsenal,Vélez Sarsfield,0,0
Platense,Patronato,1,2
Aldosivi,Tigre,1,0
Huracán,Godoy Cruz,1,3
Rosario Central,Barracas Central,1,3
Sarmiento (J),Newell's Old Boys,2,2
Talleres (C),San Lorenzo,0,1
Lanús,Colón,1,1
Unión,Banfield,2,1
River Plate,Gimnasia y Esgrima (LP),4,0
Estudiantes (LP),Boca Juniors,0,1
Atlético Tucumán,Racing Club,0,4
Argentinos Juniors,Defensa y Justicia,0,1
Independiente,Central Córdoba (SdE),1,1
Aldosivi,Patronato,3,1
Tigre,Platense,4,0
Barracas Central,Sarmiento (J),2,1
Lanús,Banfield,0,1
San Lorenzo,Huracán,0,0
Colón,Unión,0,0
Independiente,Racing Club,1,2
Rosario Central,Newell's Old Boys,0,1
Gimnasia y Esgrima (LP),Estudiantes (LP),1,1
River Plate,Boca Juniors,0,1
Defensa y Justicia,Arsenal,1,1
Argentinos Juniors,Vélez Sarsfield,1,0
Atlético Tucumán,Central Córdoba (SdE),0,1
Talleres (C),Godoy Cruz,2,1
Colón,Aldosivi,1,3
Gimnasia y Esgrima (LP),Talleres (C),2,1
Central Córdoba (SdE),Huracán,2,2
Patronato,Unión,2,1
Banfield,Argentinos Juniors,0,2
Barracas Central,Independiente,0,1
Racing Club,Sarmiento (J),4,1
Godoy Cruz,Estudiantes (LP),3,3
Vélez Sarsfield,Lanús,3,1
Defensa y Justicia,River Plate,1,2
Boca Juniors,Arsenal,2,2
San Lorenzo,Atlético Tucumán,1,1
Newell's Old Boys,Platense,3,1
Tigre,Rosario Central,2,0
Arsenal,Godoy Cruz,3,3
Atlético Tucumán,Gimnasia y Esgrima (LP),1,2
Rosario Central,Colón,2,2
Sarmiento (J),San Lorenzo,2,1
Unión,Newell's Old Boys,1,0
Talleres (C),Defensa y Justicia,1,5
Independiente,Tigre,1,1
Vélez Sarsfield,Boca Juniors,0,0
Estudiantes (LP),Central Córdoba (SdE),5,0
Patronato,Banfield,0,1
Platense,Racing Club,0,1
River Plate,Argentinos Juniors,4,2
Huracán,Barracas Central,1,2
Lanús,Aldosivi,1,2
Gimnasia y Esgrima (LP),Sarmiento (J),1,3
Tigre,Huracán,2,1
Aldosivi,Rosario Central,1,0
Central Córdoba (SdE),Arsenal,3,3
Newell's Old Boys,Patronato,1,0
San Lorenzo,Platense,2,2
Colón,Independiente,2,2
Barracas Central,Estudiantes (LP),1,6
Racing Club,Unión,1,0
Defensa y Justicia,Atlético Tucumán,1,1
Godoy Cruz,Vélez Sarsfield,0,0
Argentinos Juniors,Talleres (C),2,1
Boca Juniors,Lanús,1,1
Banfield,River Plate,1,2
Arsenal,Barracas Central,0,1
Unión,San Lorenzo,1,2
Estudiantes (LP),Tigre,2,1
Huracán,Colón,1,1
Independiente,Aldosivi,1,1
Platense,Gimnasia y Esgrima (LP),0,3
Newell's Old Boys,Banfield,1,0
Patronato,Racing Club,2,3
Vélez Sarsfield,Central Córdoba (SdE),1,2
Lanús,Rosario Central,3,1
Talleres (C),River Plate,1,0
Boca Juniors,Godoy Cruz,1,1
Sarmiento (J),Defensa y Justicia,2,1
Atlético Tucumán,Argentinos Juniors,2,4
Colón,Estudiantes (LP),2,2
Gimnasia y Esgrima (LP),Unión,1,0
San Lorenzo,Patronato,1,2
Rosario Central,Independiente,3,0
Central Córdoba (SdE),Boca Juniors,1,2
Banfield,Talleres (C),3,1
Barracas Central,Vélez Sarsfield,1,1
Racing Club,Newell's Old Boys,0,0
River Plate,Atlético Tucumán,1,1
Defensa y Justicia,Platense,1,1
Godoy Cruz,Lanús,1,1
Tigre,Arsenal,0,0
Aldosivi,Huracán,0,2
Argentinos Juniors,Sarmiento (J),0,0
Newell's Old Boys,San Lorenzo,1,2
Estudiantes (LP),Aldosivi,2,1
Patronato,Gimnasia y Esgrima (LP),0,6
Atlético Tucumán,Talleres (C),3,0
Racing Club,Banfield,1,1
Vélez Sarsfield,Tigre,3,2
Arsenal,Colón,2,0
Boca Juniors,Barracas Central,2,0
Lanús,Independiente,1,0
Sarmiento (J),River Plate,0,7
Godoy Cruz,Central Córdoba (SdE),1,0
Unión,Defensa y Justicia,1,2
Huracán,Rosario Central,2,1
Platense,Argentinos Juniors,1,1
San Lorenzo,Racing Club,1,1
Barracas Central,Godoy Cruz,3,1
Aldosivi,Arsenal,1,2
Independiente,Huracán,3,0
Tigre,Boca Juniors,0,2
Rosario Central,Estudiantes (LP),3,1
Argentinos Juniors,Unión,2,1
Defensa y Justicia,Patronato,1,0
Gimnasia y Esgrima (LP),Newell's Old Boys,3,1
Talleres (C),Sarmiento (J),1,0
River Plate,Platense,2,1
Central Córdoba (SdE),Lanús,3,3
Colón,Vélez Sarsfield,1,2
Banfield,Atlético Tucumán,1,1
Racing Club,Aldosivi,5,0
Boca Juniors,Defensa y Justicia,2,0
Estudiantes (LP),Argentinos Juniors,13,14
River Plate,Tigre,1,2
Boca Juniors,Racing Club,6,5
Tigre,Argentinos Juniors,13,11
Boca Juniors,Tigre,3,0
Racing Club,Unión,0,0
Colón,Patronato,0,1
San Lorenzo,Godoy Cruz,3,2
Lanús,Gimnasia y Esgrima (LP),1,1
Argentinos Juniors,River Plate,1,1
Estudiantes (LP),Aldosivi,1,0
Newell's Old Boys,Central Córdoba (SdE),2,0
Talleres (C),Vélez Sarsfield,1,0
Defensa y Justicia,Independiente,0,1
Boca Juniors,Huracán,0,0
Arsenal,Banfield,1,0
Atlético Tucumán,Rosario Central,1,2
Huracán,Colón,2,0
Aldosivi,Argentinos Juniors,0,0
Rosario Central,Talleres (C),1,0
Central Córdoba (SdE),Atlético Tucumán,1,0
Vélez Sarsfield,Racing Club,2,2
Unión,Defensa y Justicia,2,1
Gimnasia y Esgrima (LP),San Lorenzo,0,1
Banfield,Estudiantes (LP),1,0
River Plate,Lanús,3,0
Patronato,Boca Juniors,0,2
Godoy Cruz,Arsenal,0,2
Independiente,Newell's Old Boys,2,3
Argentinos Juniors,Banfield,3,2
Talleres (C),Central Córdoba (SdE),1,1
Newell's Old Boys,Unión,2,0
San Lorenzo,Rosario Central,2,2
Racing Club,River Plate,1,6
Patronato,Huracán,2,1
Defensa y Justicia,Arsenal,0,3
Lanús,Vélez Sarsfield,3,1
Boca Juniors,Aldosivi,2,0
Atlético Tucumán,Godoy Cruz,1,0
Colón,Gimnasia y Esgrima (LP),2,1
Estudiantes (LP),Independiente,3,0
Arsenal,San Lorenzo,0,2
Gimnasia y Esgrima (LP),Defensa y Justicia,0,1
Vélez Sarsfield,Newell's Old Boys,3,1
Rosario Central,Patronato,1,1
Independiente,Colón,2,0
Godoy Cruz,Estudiantes (LP),2,1
Unión,Lanús,1,2
Central Córdoba (SdE),Racing Club,0,0
River Plate,Talleres (C),0,1
Banfield,Boca Juniors,0,1
Aldosivi,Atlético Tucumán,3,0
Huracán,Argentinos Juniors,0,0
Lanús,Central Córdoba (SdE),1,0
Estudiantes (LP),Vélez Sarsfield,0,1
Defensa y Justicia,Banfield,0,0
Argentinos Juniors,Gimnasia y Esgrima (LP),1,0
San Lorenzo,Unión,2,1
Patronato,Independiente,1,0
Racing Club,Godoy Cruz,3,1
Atlético Tucumán,Arsenal,1,0
Colón,Rosario Central,1,1
Talleres (C),Aldosivi,2,1
Newell's Old Boys,Huracán,4,1
River Plate,Boca Juniors,0,0
Arsenal,Unión,4,1
Central Córdoba (SdE),Defensa y Justicia,1,2
Godoy Cruz,Argentinos Juniors,0,1
Colón,San Lorenzo,2,1
Huracán,River Plate,0,4
Gimnasia y Esgrima (LP),Racing Club,1,2
Banfield,Talleres (C),0,1
Rosario Central,Newell's Old Boys,1,1
Independiente,Lanús,2,2
Boca Juniors,Estudiantes (LP),1,0
Aldosivi,Patronato,1,1
Vélez Sarsfield,Atlético Tucumán,1,0
Unión,Rosario Central,0,0
Argentinos Juniors,Central Córdoba (SdE),3,1
Estudiantes (LP),Patronato,1,0
Defensa y Justicia,Huracán,0,1
San Lorenzo,Boca Juniors,0,2
Atlético Tucumán,Independiente,0,1
Newell's Old Boys,Aldosivi,2,0
Godoy Cruz,Banfield,0,2
Lanús,Colón,3,2
Racing Club,Arsenal,2,1
River Plate,Vélez Sarsfield,1,2
Talleres (C),Gimnasia y Esgrima (LP),2,1
Aldosivi,Unión,1,2
Patronato,Lanús,1,1
Arsenal,Estudiantes (LP),3,0
Gimnasia y Esgrima (LP),River Plate,0,2
Boca Juniors,Newell's Old Boys,1,1
Banfield,San Lorenzo,0,1
Huracán,Atlético Tucumán,0,0
Vélez Sarsfield,Defensa y Justicia,0,1
Rosario Central,Racing Club,1,1
Independiente,Talleres (C),3,2
Central Córdoba (SdE),Godoy Cruz,1,0
Colón,Argentinos Juniors,1,0
Newell's Old Boys,Banfield,0,0
Atlético Tucumán,Talleres (C),2,1
Godoy Cruz,Gimnasia y Esgrima (LP),2,4
Argentinos Juniors,Arsenal,2,1
San Lorenzo,Central Córdoba (SdE),1,4
Estudiantes (LP),Huracán,0,0
Racing Club,Aldosivi,2,0
Vélez Sarsfield,Independiente,2,0
Lanús,Rosario Central,1,1
Unión,Colón,1,0
River Plate,Patronato,2,0
Defensa y Justicia,Boca Juniors,0,1
Arsenal,River Plate,3,3
Boca Juniors,Racing Club,0,1
Banfield,Atlético Tucumán,1,2
Independiente,Argentinos Juniors,0,1
Patronato,Newell's Old Boys,1,3
Talleres (C),Lanús,2,4
Aldosivi,Defensa y Justicia,1,0
Gimnasia y Esgrima (LP),Unión,0,1
Huracán,San Lorenzo,2,0
Rosario Central,Vélez Sarsfield,0,1
Central Córdoba (SdE),Estudiantes (LP),0,1
Colón,Godoy Cruz,2,1
Godoy Cruz,Aldosivi,3,2
Estudiantes (LP),Rosario Central,3,0
Atlético Tucumán,Patronato,2,0
Newell's Old Boys,Gimnasia y Esgrima (LP),0,4
River Plate,Colón,2,1
Argentinos Juniors,Talleres (C),1,0
San Lorenzo,Defensa y Justicia,1,3
Unión,Independiente,2,2
Racing Club,Banfield,0,0
Arsenal,Central Córdoba (SdE),2,2
Vélez Sarsfield,Huracán,0,0
Lanús,Boca Juniors,2,1
Colón,Atlético Tucumán,0,2
Gimnasia y Esgrima (LP),Estudiantes (LP),0,1
Rosario Central,Godoy Cruz,5,2
Aldosivi,River Plate,1,2
Boca Juniors,Arsenal,5,1
Banfield,Unión,3,3
Talleres (C),Newell's Old Boys,1,0
Patronato,Racing Club,1,1
Independiente,San Lorenzo,2,1
Defensa y Justicia,Argentinos Juniors,0,0
Huracán,Lanús,0,1
Central Córdoba (SdE),Vélez Sarsfield,0,0
Estudiantes (LP),Talleres (C),1,0
Unión,Atlético Tucumán,0,1
Lanús,Banfield,0,1
San Lorenzo,Argentinos Juniors,3,0
Godoy Cruz,Independiente,1,2
Central Córdoba (SdE),Patronato,3,2
River Plate,Rosario Central,0,1
Aldosivi,Gimnasia y Esgrima (LP),0,3
Newell's Old Boys,Defensa y Justicia,2,0
Racing Club,Huracán,1,0
Vélez Sarsfield,Boca Juniors,0,0
Arsenal,Colón,2,1
Defensa y Justicia,Lanús,2,0
Huracán,Central Córdoba (SdE),1,1
Atlético Tucumán,San Lorenzo,2,2
Boca Juniors,Unión,2,0
Banfield,Vélez Sarsfield,1,0
Gimnasia y Esgrima (LP),Arsenal,0,1
Talleres (C),Racing Club,3,3
Patronato,Godoy Cruz,0,2
Colón,Estudiantes (LP),3,2
Rosario Central,Aldosivi,5,1
Argentinos Juniors,Newell's Old Boys,1,0
Independiente,River Plate,1,2
Banfield,Gimnasia y Esgrima (LP),1,1
Racing Club,Defensa y Justicia,1,1
Estudiantes (LP),Atlético Tucumán,1,1
Boca Juniors,Argentinos Juniors,1,1
Newell's Old Boys,River Plate,2,3
San Lorenzo,Patronato,2,0
Godoy Cruz,Talleres (C),0,5
Vélez Sarsfield,Colón,3,1
Aldosivi,Independiente,0,0
Central Córdoba (SdE),Rosario Central,1,1
Arsenal,Lanús,1,1
Unión,Huracán,1,0
Colón,Aldosivi,0,2
Independiente,Banfield,0,1
Huracán,Arsenal,0,2
Talleres (C),Unión,0,0
Atlético Tucumán,Newell's Old Boys,2,2
Lanús,Racing Club,1,0
Defensa y Justicia,Godoy Cruz,2,0
Gimnasia y Esgrima (LP),Central Córdoba (SdE),2,1
Rosario Central,Boca Juniors,1,0
River Plate,San Lorenzo,0,1
Patronato,Vélez Sarsfield,0,1
Argentinos Juniors,Estudiantes (LP),1,1
Aldosivi,Lanús,2,0
Gimnasia y Esgrima (LP),Vélez Sarsfield,0,0
Unión,Argentinos Juniors,1,0
Rosario Central,Huracán,2,1
Arsenal,Newell's Old Boys,1,1
San Lorenzo,Estudiantes (LP),1,1
Central Córdoba (SdE),Colón,1,0
Godoy Cruz,River Plate,0,1
Defensa y Justicia,Talleres (C),4,1
Banfield,Patronato,3,3
Racing Club,Atlético Tucumán,1,1
Boca Juniors,Independiente,0,0
Vélez Sarsfield,Aldosivi,1,1
Huracán,Gimnasia y Esgrima (LP),1,1
Independiente,Rosario Central,5,0
Atlético Tucumán,Defensa y Justicia,1,1
Estudiantes (LP),Unión,3,1
Argentinos Juniors,Racing Club,1,1
River Plate,Central Córdoba (SdE),2,0
Lanús,Godoy Cruz,2,0
Colón,Banfield,0,1
Talleres (C),Boca Juniors,1,2
Patronato,Arsenal,2,2
Newell's Old Boys,San Lorenzo,1,0
Aldosivi,Central Córdoba (SdE),0,2
Argentinos Juniors,Lanús,0,0
Gimnasia y Esgrima (LP),Patronato,1,1
Defensa y Justicia,Colón,0,0
Banfield,Rosario Central,1,1
Newell's Old Boys,Estudiantes (LP),0,0
Boca Juniors,Atlético Tucumán,2,0
San Lorenzo,Vélez Sarsfield,1,0
Racing Club,Independiente,1,0
Unión,River Plate,1,2
Arsenal,Talleres (C),1,1
Godoy Cruz,Huracán,2,1
Patronato,Unión,1,0
Colón,Racing Club,1,1
Huracán,Aldosivi,0,2
Atlético Tucumán,Argentinos Juniors,0,2
Rosario Central,Gimnasia y Esgrima (LP),1,0
Talleres (C),San Lorenzo,1,0
Lanús,Newell's Old Boys,1,1
River Plate,Banfield,1,0
Central Córdoba (SdE),Boca Juniors,0,4
Estudiantes (LP),Defensa y Justicia,1,2
Independiente,Arsenal,1,1
Vélez Sarsfield,Godoy Cruz,0,1
Banfield,Aldosivi,0,1
Argentinos Juniors,Patronato,1,1
San Lorenzo,Racing Club,0,1
Independiente,Gimnasia y Esgrima (LP),0,1
Newell's Old Boys,Colón,4,0
Atlético Tucumán,Lanús,2,2
Arsenal,Vélez Sarsfield,0,4
Boca Juniors,Godoy Cruz,3,0
Estudiantes (LP),River Plate,0,2
Defensa y Justicia,Rosario Central,3,0
Unión,Central Córdoba (SdE),0,0
Talleres (C),Huracán,4,2
Racing Club,Newell's Old Boys,1,1
Colón,Boca Juniors,0,4
Gimnasia y Esgrima (LP),Atlético Tucumán,1,0
River Plate,Defensa y Justicia,1,1
Godoy Cruz,Unión,1,3
Central Córdoba (SdE),Banfield,1,1
Aldosivi,San Lorenzo,1,3
Lanús,Estudiantes (LP),1,1
Rosario Central,Arsenal,3,1
Vélez Sarsfield,Argentinos Juniors,2,0
Patronato,Talleres (C),3,2
Huracán,Independiente,1,0
Arsenal,Aldosivi,4,0
Argentinos Juniors,Rosario Central,2,1
Defensa y Justicia,Patronato,2,0
Banfield,Huracán,0,3
Atlético Tucumán,River Plate,1,1
Boca Juniors,Gimnasia y Esgrima (LP),1,0
San Lorenzo,Lanús,4,3
Independiente,Central Córdoba (SdE),3,0
Newell's Old Boys,Godoy Cruz,0,2
Talleres (C),Colón,2,0
Unión,Vélez Sarsfield,0,3
Estudiantes (LP),Racing Club,1,2
Racing Club,Unión,0,0
Colón,Patronato,0,1
San Lorenzo,Godoy Cruz,3,2
Lanús,Gimnasia y Esgrima (LP),1,1
Argentinos Juniors,River Plate,1,1
Estudiantes (LP),Aldosivi,1,0
Newell's Old Boys,Central Córdoba (SdE),2,0
Talleres (C),Vélez Sarsfield,1,0
Defensa y Justicia,Independiente,0,1
Boca Juniors,Huracán,0,0
Arsenal,Banfield,1,0
Atlético Tucumán,Rosario Central,1,2
Huracán,Colón,2,0
Aldosivi,Argentinos Juniors,0,0
Rosario Central,Talleres (C),1,0
Central Córdoba (SdE),Atlético Tucumán,1,0
Vélez Sarsfield,Racing Club,2,2
Unión,Defensa y Justicia,2,1
Gimnasia y Esgrima (LP),San Lorenzo,0,1
Banfield,Estudiantes (LP),1,0
River Plate,Lanús,3,0
Patronato,Boca Juniors,0,2
Godoy Cruz,Arsenal,0,2
Independiente,Newell's Old Boys,2,3
Argentinos Juniors,Banfield,3,2
Talleres (C),Central Córdoba (SdE),1,1
Newell's Old Boys,Unión,2,0
San Lorenzo,Rosario Central,2,2
Racing Club,River Plate,1,6
Patronato,Huracán,2,1
Defensa y Justicia,Arsenal,0,3
Lanús,Vélez Sarsfield,3,1
Boca Juniors,Aldosivi,2,0
Atlético Tucumán,Godoy Cruz,1,0
Colón,Gimnasia y Esgrima (LP),2,1
Estudiantes (LP),Independiente,3,0
Arsenal,San Lorenzo,0,2
Gimnasia y Esgrima (LP),Defensa y Justicia,0,1
Vélez Sarsfield,Newell's Old Boys,3,1
Rosario Central,Patronato,1,1
Independiente,Colón,2,0
Godoy Cruz,Estudiantes (LP),2,1
Unión,Lanús,1,2
Central Córdoba (SdE),Racing Club,0,0
River Plate,Talleres (C),0,1
Banfield,Boca Juniors,0,1
