local,resultado,visitante,fecha
Independiente,2 -                                         2,Colón de Santa Fe,regular_a_8
Platense,1 -                                         0,Defensa y Justicia,regular_a_8
Godoy Cruz,3 -                                         1,Belgrano,regular_a_8
At. Tucumán,1 -                                         1,Barracas Central,regular_a_8
Gimnasia La Plata,2 -                                         1,Estudiantes,regular_a_8
Boca Juniors,2 -                                         3,I. Córdoba,regular_a_8
Sarmiento,0 -                                         2,River Plate,regular_a_8
Talleres,0 -                                         1,Banfield,regular_a_8
Newell´s Old Boys,1 -                                         0,San Lorenzo de Almagro,regular_a_8
Lanús,0 -                                         0,Argentinos Juniors,regular_a_8
Huracán,0 -                                         2,Rosario Central,regular_a_8
Vélez Sarsfield,4 -                                         0,Central Córdoba (Santiago del Estero),regular_a_8
Defensa y Justicia,0 -                                         0,Vélez Sarsfield,regular_a_9
Argentinos Juniors,3 -                                         0,Godoy Cruz,regular_a_9
Rosario Central,3 -                                         1,Gimnasia La Plata,regular_a_9
Estudiantes,3 -                                         0,Newell´s Old Boys,regular_a_9
River Plate,1 -                                         0,Unión Santa Fe,regular_a_9
Barracas Central,0 -                                         3,Boca Juniors,regular_a_9
San Lorenzo de Almagro,0 -                                         0,Independiente,regular_a_9
Racing Club,2 -                                         1,Huracán,regular_a_9
Tigre,2 -                                         1,Lanús,regular_a_9
I. Córdoba,0 -                                         3,Talleres,regular_a_9
Colón de Santa Fe,0 -                                         0,At. Tucumán,regular_a_9
Banfield,0 -                                         2,Platense,regular_a_9
Belgrano,0 -                                         0,Sarmiento,regular_a_9
Central Córdoba (Santiago del Estero),1 -                                         0,Arsenal de Sarandí,regular_a_9
Lanús,3 -                                         0,Arsenal de Sarandí,regular_a_10
Platense,1 -                                         0,I. Córdoba,regular_a_10
Talleres,3 -                                         0,Barracas Central,regular_a_10
Vélez Sarsfield,3 -                                         3,Banfield,regular_a_10
Sarmiento,2 -                                         0,Argentinos Juniors,regular_a_10
Gimnasia La Plata,3 -                                         1,Racing Club,regular_a_10
Unión Santa Fe,0 -                                         3,Belgrano,regular_a_10
At. Tucumán,1 -                                         3,San Lorenzo de Almagro,regular_a_10
Defensa y Justicia,1 -                                         2,Central Córdoba (Santiago del Estero),regular_a_10
Godoy Cruz,1 -                                         1,Tigre,regular_a_10
Independiente,1 -                                         2,Estudiantes,regular_a_10
Newell´s Old Boys,0 -                                         0,Rosario Central,regular_a_10
Huracán,0 -                                         3,River Plate,regular_a_10
Boca Juniors,1 -                                         2,Colón de Santa Fe,regular_a_10
Barracas Central,1 -                                         0,Platense,regular_a_11
Argentinos Juniors,5 -                                         1,Unión Santa Fe,regular_a_11
Central Córdoba (Santiago del Estero),1 -                                         1,Lanús,regular_a_11
Banfield,0 -                                         3,Defensa y Justicia,regular_a_11
I. Córdoba,1 -                                         0,Vélez Sarsfield,regular_a_11
San Lorenzo de Almagro,1 -                                         0,Boca Juniors,regular_a_11
Belgrano,2 -                                         0,Huracán,regular_a_11
Racing Club,0 -                                         1,Newell´s Old Boys,regular_a_11
Estudiantes,0 -                                         0,At. Tucumán,regular_a_11
Rosario Central,1 -                                         0,Independiente,regular_a_11
Arsenal de Sarandí,2 -                                         3,Godoy Cruz,regular_a_11
Colón de Santa Fe,2 -                                         2,Talleres,regular_a_11
River Plate,3 -                                         0,Gimnasia La Plata,regular_a_11
Tigre,1 -                                         0,Sarmiento,regular_a_11
Defensa y Justicia,1 -                                         0,I. Córdoba,regular_a_12
Boca Juniors,0 -                                         1,Estudiantes,regular_a_12
Gimnasia La Plata,0 -                                         2,Belgrano,regular_a_12
Huracán,0 -                                         0,Argentinos Juniors,regular_a_12
Unión Santa Fe,0 -                                         0,Tigre,regular_a_12
Vélez Sarsfield,0 -                                         0,Barracas Central,regular_a_12
Independiente,1 -                                         1,Racing Club,regular_a_12
Newell´s Old Boys,0 -                                         1,River Plate,regular_a_12
Talleres,0 -                                         0,San Lorenzo de Almagro,regular_a_12
Platense,0 -                                         0,Colón de Santa Fe,regular_a_12
Sarmiento,1 -                                         0,Arsenal de Sarandí,regular_a_12
Banfield,1 -                                         0,Central Córdoba (Santiago del Estero),regular_a_12
Godoy Cruz,4 -                                         4,Lanús,regular_a_12
At. Tucumán,2 -                                         2,Rosario Central,regular_a_12
Colón de Santa Fe,2 -                                         1,Vélez Sarsfield,regular_a_13
Lanús,2 -                                         1,Sarmiento,regular_a_13
Arsenal de Sarandí,2 -                                         1,Unión Santa Fe,regular_a_13
Central Córdoba (Santiago del Estero),0 -                                         2,Godoy Cruz,regular_a_13
Belgrano,1 -                                         0,Newell´s Old Boys,regular_a_13
San Lorenzo de Almagro,1 -                                         0,Platense,regular_a_13
Rosario Central,2 -                                         2,Boca Juniors,regular_a_13
I. Córdoba,1 -                                         1,Banfield,regular_a_13
Estudiantes,1 -                                         0,Talleres,regular_a_13
River Plate,2 -                                         0,Independiente,regular_a_13
Barracas Central,0 -                                         2,Defensa y Justicia,regular_a_13
Racing Club,1 -                                         3,At. Tucumán,regular_a_13
Argentinos Juniors,2 -                                         4,Gimnasia La Plata,regular_a_13
Tigre,1 -                                         0,Huracán,regular_a_13
Sarmiento,1 -                                         1,Godoy Cruz,regular_a_14
Platense,1 -                                         2,Estudiantes,regular_a_14
Huracán,2 -                                         1,Arsenal de Sarandí,regular_a_14
Newell´s Old Boys,0 -                                         0,Argentinos Juniors,regular_a_14
At. Tucumán,1 -                                         1,River Plate,regular_a_14
Vélez Sarsfield,0 -                                         0,San Lorenzo de Almagro,regular_a_14
Gimnasia La Plata,1 -                                         1,Tigre,regular_a_14
Banfield,0 -                                         0,Barracas Central,regular_a_14
I. Córdoba,0 -                                         2,Central Córdoba (Santiago del Estero),regular_a_14
Boca Juniors,3 -                                         1,Racing Club,regular_a_14
Defensa y Justicia,2 -                                         0,Colón de Santa Fe,regular_a_14
Independiente,2 -                                         0,Belgrano,regular_a_14
Talleres,3 -                                         1,Rosario Central,regular_a_14
Unión Santa Fe,1 -                                         1,Lanús,regular_a_14
Barracas Central,3 -                                         0,I. Córdoba,regular_a_15
Godoy Cruz,0 -                                         0,Unión Santa Fe,regular_a_15
Lanús,1 -                                         0,Huracán,regular_a_15
Belgrano,1 -                                         0,At. Tucumán,regular_a_15
Colón de Santa Fe,2 -                                         0,Banfield,regular_a_15
Argentinos Juniors,2 -                                         2,Independiente,regular_a_15
Rosario Central,4 -                                         0,Platense,regular_a_15
River Plate,1 -                                         0,Boca Juniors,regular_a_15
Tigre,2 -                                         2,Newell´s Old Boys,regular_a_15
Estudiantes,2 -                                         0,Vélez Sarsfield,regular_a_15
Arsenal de Sarandí,0 -                                         1,Gimnasia La Plata,regular_a_15
San Lorenzo de Almagro,0 -                                         0,Defensa y Justicia,regular_a_15
Racing Club,2 -                                         4,Talleres,regular_a_15
Central Córdoba (Santiago del Estero),0 -                                         1,Sarmiento,regular_a_15
Huracán,0 -                                         0,Godoy Cruz,regular_a_16
At. Tucumán,1 -                                         2,Argentinos Juniors,regular_a_16
Independiente,2 -                                         1,Tigre,regular_a_16
Banfield,1 -                                         2,San Lorenzo de Almagro,regular_a_16
Newell´s Old Boys,2 -                                         0,Arsenal de Sarandí,regular_a_16
I. Córdoba,1 -                                         0,Colón de Santa Fe,regular_a_16
Defensa y Justicia,1 -                                         1,Estudiantes,regular_a_16
Platense,3 -                                         0,Racing Club,regular_a_16
Boca Juniors,2 -                                         0,Belgrano,regular_a_16
Talleres,2 -                                         1,River Plate,regular_a_16
Barracas Central,2 -                                         2,Central Córdoba (Santiago del Estero),regular_a_16
Unión Santa Fe,0 -                                         2,Sarmiento,regular_a_16
Gimnasia La Plata,1 -                                         0,Lanús,regular_a_16
Vélez Sarsfield,0 -                                         0,Rosario Central,regular_a_16
Arsenal de Sarandí,2 -                                         1,Independiente,regular_a_17
Godoy Cruz,2 -                                         0,Gimnasia La Plata,regular_a_17
Estudiantes,1 -                                         0,Banfield,regular_a_17
Central Córdoba (Santiago del Estero),0 -                                         1,Unión Santa Fe,regular_a_17
Rosario Central,2 -                                         1,Defensa y Justicia,regular_a_17
Argentinos Juniors,0 -                                         1,Boca Juniors,regular_a_17
San Lorenzo de Almagro,2 -                                         0,I. Córdoba,regular_a_17
Lanús,1 -                                         0,Newell´s Old Boys,regular_a_17
Tigre,0 -                                         0,At. Tucumán,regular_a_17
Belgrano,1 -                                         1,Talleres,regular_a_17
Colón de Santa Fe,1 -                                         1,Barracas Central,regular_a_17
Sarmiento,0 -                                         0,Huracán,regular_a_17
River Plate,2 -                                         1,Platense,regular_a_17
Racing Club,2 -                                         1,Vélez Sarsfield,regular_a_17
At. Tucumán,1 -                                         0,Arsenal de Sarandí,regular_a_18
Gimnasia La Plata,0 -                                         0,Sarmiento,regular_a_18
Platense,1 -                                         0,Belgrano,regular_a_18
Independiente,1 -                                         1,Lanús,regular_a_18
Barracas Central,1 -                                         0,San Lorenzo de Almagro,regular_a_18
Talleres,1 -                                         0,Argentinos Juniors,regular_a_18
Defensa y Justicia,1 -                                         1,Racing Club,regular_a_18
Boca Juniors,1 -                                         0,Tigre,regular_a_18
Newell´s Old Boys,2 -                                         0,Godoy Cruz,regular_a_18
Colón de Santa Fe,2 -                                         2,Central Córdoba (Santiago del Estero),regular_a_18
Banfield,2 -                                         0,Rosario Central,regular_a_18
Huracán,0 -                                         1,Unión Santa Fe,regular_a_18
I. Córdoba,0 -                                         0,Estudiantes,regular_a_18
Vélez Sarsfield,2 -                                         2,River Plate,regular_a_18
Sarmiento,0 -                                         0,Newell´s Old Boys,regular_a_19
Arsenal de Sarandí,1 -                                         0,Boca Juniors,regular_a_19
Estudiantes,5 -                                         2,Barracas Central,regular_a_19
Tigre,1 -                                         3,Talleres,regular_a_19
Argentinos Juniors,1 -                                         0,Platense,regular_a_19
Belgrano,2 -                                         0,Vélez Sarsfield,regular_a_19
Rosario Central,4 -                                         1,I. Córdoba,regular_a_19
Central Córdoba (Santiago del Estero),2 -                                         0,Huracán,regular_a_19
Racing Club,2 -                                         0,Banfield,regular_a_19
Unión Santa Fe,2 -                                         0,Gimnasia La Plata,regular_a_19
San Lorenzo de Almagro,0 -                                         0,Colón de Santa Fe,regular_a_19
Godoy Cruz,2 -                                         1,Independiente,regular_a_19
Lanús,2 -                                         1,At. Tucumán,regular_a_19
River Plate,1 -                                         0,Defensa y Justicia,regular_a_19
Barracas Central,0 -                                         0,Rosario Central,regular_a_20
Independiente,2 -                                         0,Sarmiento,regular_a_20
Platense,1 -                                         0,Tigre,regular_a_20
Boca Juniors,1 -                                         1,Lanús,regular_a_20
Talleres,1 -                                         0,Arsenal de Sarandí,regular_a_20
Newell´s Old Boys,1 -                                         1,Unión Santa Fe,regular_a_20
San Lorenzo de Almagro,0 -                                         0,Central Córdoba (Santiago del Estero),regular_a_20
Banfield,1 -                                         4,River Plate,regular_a_20
I. Córdoba,1 -                                         1,Racing Club,regular_a_20
Vélez Sarsfield,0 -                                         1,Argentinos Juniors,regular_a_20
Colón de Santa Fe,1 -                                         0,Estudiantes,regular_a_20
Defensa y Justicia,2 -                                         0,Belgrano,regular_a_20
At. Tucumán,2 -                                         1,Godoy Cruz,regular_a_20
Gimnasia La Plata,1 -                                         0,Huracán,regular_a_20
Estudiantes,1 -                                         1,San Lorenzo de Almagro,regular_a_21
Central Córdoba (Santiago del Estero),0 -                                         0,Gimnasia La Plata,regular_a_21
Tigre,2 -                                         1,Vélez Sarsfield,regular_a_21
Racing Club,1 -                                         1,Barracas Central,regular_a_21
River Plate,3 -                                         1,I. Córdoba,regular_a_21
Godoy Cruz,4 -                                         0,Boca Juniors,regular_a_21
Huracán,1 -                                         1,Newell´s Old Boys,regular_a_21
Argentinos Juniors,3 -                                         1,Defensa y Justicia,regular_a_21
Unión Santa Fe,3 -                                         0,Independiente,regular_a_21
Lanús,2 -                                         1,Talleres,regular_a_21
Arsenal de Sarandí,0 -                                         2,Platense,regular_a_21
Rosario Central,1 -                                         1,Colón de Santa Fe,regular_a_21
Sarmiento,4 -                                         1,At. Tucumán,regular_a_21
Belgrano,3 -                                         1,Banfield,regular_a_21
Platense,0 -                                         1,Lanús,regular_a_22
At. Tucumán,1 -                                         0,Unión Santa Fe,regular_a_22
Vélez Sarsfield,1 -                                         0,Arsenal de Sarandí,regular_a_22
Barracas Central,2 -                                         1,River Plate,regular_a_22
San Lorenzo de Almagro,1 -                                         0,Rosario Central,regular_a_22
Estudiantes,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_22
Talleres,1 -                                         1,Godoy Cruz,regular_a_22
Independiente,1 -                                         0,Huracán,regular_a_22
Colón de Santa Fe,0 -                                         4,Racing Club,regular_a_22
I. Córdoba,1 -                                         0,Belgrano,regular_a_22
Banfield,1 -                                         0,Argentinos Juniors,regular_a_22
Defensa y Justicia,1 -                                         0,Tigre,regular_a_22
Boca Juniors,2 -                                         0,Sarmiento,regular_a_22
Newell´s Old Boys,2 -                                         2,Gimnasia La Plata,regular_a_22
Lanús,0 -                                         1,Vélez Sarsfield,regular_a_23
Godoy Cruz,2 -                                         1,Platense,regular_a_23
Tigre,1 -                                         2,Banfield,regular_a_23
Rosario Central,0 -                                         0,Estudiantes,regular_a_23
Racing Club,1 -                                         1,San Lorenzo de Almagro,regular_a_23
River Plate,2 -                                         0,Colón de Santa Fe,regular_a_23
Arsenal de Sarandí,1 -                                         2,Defensa y Justicia,regular_a_23
Unión Santa Fe,0 -                                         0,Boca Juniors,regular_a_23
Sarmiento,0 -                                         1,Talleres,regular_a_23
Argentinos Juniors,0 -                                         0,I. Córdoba,regular_a_23
Belgrano,0 -                                         2,Barracas Central,regular_a_23
Huracán,0 -                                         1,At. Tucumán,regular_a_23
Gimnasia La Plata,1 -                                         1,Independiente,regular_a_23
Central Córdoba (Santiago del Estero),2 -                                         0,Newell´s Old Boys,regular_a_23
Estudiantes,0 -                                         0,Racing Club,regular_a_24
San Lorenzo de Almagro,0 -                                         0,River Plate,regular_a_24
I. Córdoba,0 -                                         1,Tigre,regular_a_24
Platense,1 -                                         0,Sarmiento,regular_a_24
Vélez Sarsfield,1 -                                         1,Godoy Cruz,regular_a_24
Banfield,0 -                                         0,Arsenal de Sarandí,regular_a_24
Defensa y Justicia,2 -                                         2,Lanús,regular_a_24
Barracas Central,0 -                                         0,Argentinos Juniors,regular_a_24
Colón de Santa Fe,0 -                                         0,Belgrano,regular_a_24
Boca Juniors,1 -                                         0,Huracán,regular_a_24
Talleres,0 -                                         0,Unión Santa Fe,regular_a_24
Rosario Central,2 -                                         0,Central Córdoba (Santiago del Estero),regular_a_24
Independiente,0 -                                         2,Newell´s Old Boys,regular_a_24
At. Tucumán,2 -                                         0,Gimnasia La Plata,regular_a_24
Sarmiento,1 -                                         1,Vélez Sarsfield,regular_a_25
Godoy Cruz,2 -                                         2,Defensa y Justicia,regular_a_25
Huracán,0 -                                         1,Talleres,regular_a_25
Unión Santa Fe,0 -                                         0,Platense,regular_a_25
Racing Club,1 -                                         1,Rosario Central,regular_a_25
River Plate,3 -                                         1,Estudiantes,regular_a_25
Belgrano,0 -                                         1,San Lorenzo de Almagro,regular_a_25
Gimnasia La Plata,1 -                                         3,Boca Juniors,regular_a_25
Lanús,2 -                                         2,Banfield,regular_a_25
Argentinos Juniors,1 -                                         0,Colón de Santa Fe,regular_a_25
Central Córdoba (Santiago del Estero),0 -                                         1,Independiente,regular_a_25
Arsenal de Sarandí,0 -                                         2,I. Córdoba,regular_a_25
Tigre,0 -                                         1,Barracas Central,regular_a_25
Newell´s Old Boys,0 -                                         0,At. Tucumán,regular_a_25
